"","fy","fye","month","plan_name","plan_full_name","state","aal","avg_return","avg_opt_benchmark_return","avg_conservative_benchmark_return","avg_moderate_benchmark_return","avg_aggressive_benchmark_return","avg_standard_pension_benchmark_return","avg_opt_benchmark_excess","avg_conservative_benchmark_excess","avg_moderate_benchmark_excess","avg_aggressive_benchmark_excess","avg_standard_pension_benchmark_excess"
"1",2021,2021-09-30,9,"Alabama ERS","Employees' Retirement System of Alabama","Alabama",21104942,0.0698375091390553,0.0842077301180966,0.0695628599696558,0.0750365665246522,0.0814046040132721,0.0741275166772593,-0.0143702209790413,0.000274649169399455,-0.00519905738559689,-0.0115670948742168,-0.00429000753820397
"2",2021,2021-06-30,6,"Alaska PERS","State of Alaska Public Employees' Retirement System","Alaska",15419975,0.0731362642796587,0.0744070686502813,0.0672262250337767,0.0713203033204755,0.0757520539428689,0.0712244074714024,-0.00127080437062266,0.00591003924588196,0.00181596095918324,-0.00261578966321019,0.00191185680825634
"3",2021,2021-06-30,6,"Arizona SRS","Arizona State Retirement System","Arizona",61451420,0.0713515595707728,0.0760618985730606,0.0672262250337767,0.0713203033204755,0.0757520539428689,0.0712244074714024,-0.00471033900228779,0.00412533453699604,3.12562502973179e-05,-0.00440049437209611,0.00012715209937042
"4",2021,2021-06-30,6,"Arkansas PERS","Arkansas Public Employees Retirement System","Arkansas",11821000,0.0765444738536873,0.0767582272707981,0.0672262250337767,0.0713203033204755,0.0757520539428689,0.0712244074714024,-0.000213753417110718,0.00931824881991061,0.00522417053321189,0.000792419910818465,0.00532006638228499
"5",2021,2021-06-30,6,"California PERF","California Public Employees Retirement Fund","California",554678976,0.0692903773598179,0.0734005649370559,0.0672262250337767,0.0713203033204755,0.0757520539428689,0.0712244074714024,-0.00411018757723802,0.00206415232604118,-0.00202992596065754,-0.00646167658305097,-0.00193403011158444
"6",2021,2021-12-31,12,"Colorado State","Colorado Public Employee Retirement Association-State Division","Colorado",27159846,0.0831881696633767,0.0796248472905676,0.070034668763016,0.0751552456359836,0.080697575913466,0.0748341523100793,0.0035633223728091,0.0131535009003607,0.00803292402739308,0.00249059374991067,0.00835401735329744
"7",2021,2021-06-30,6,"Connecticut SERS","Connecticut State Employees Retirement System","Connecticut",38344444,0.0671203249917878,0.073071715863231,0.0672262250337767,0.0713203033204755,0.0757520539428689,0.0712244074714024,-0.00595139087144325,-0.00010590004198896,-0.00419997832868768,-0.00863172895108111,-0.00410408247961458
"8",2021,2021-06-30,6,"Florida RS","Florida Retirement System","Florida",209636048,0.0740250894700785,0.0758751438284901,0.0672262250337767,0.0713203033204755,0.0757520539428689,0.0712244074714024,-0.00185005435841168,0.00679886443630173,0.00270478614960301,-0.00172696447279042,0.00280068199867611
"9",2021,2021-06-30,6,"Hawaii ERS","Employees' Retirement System of the State of Hawaii","Hawaii",34139200,0.0650738073389698,0.0727241681778541,0.0672262250337767,0.0713203033204755,0.0757520539428689,0.0712244074714024,-0.00765036083888426,-0.0021524176948069,-0.00624649598150562,-0.010678246603899,-0.00615060013243252
"10",2021,2021-06-30,6,"Idaho PERS","Public Employee Retirement System of Idaho","Idaho",21798700,0.0771370926145389,0.0732132407394226,0.0672262250337767,0.0713203033204755,0.0757520539428689,0.0712244074714024,0.00392385187511635,0.00991086758076221,0.00581678929406348,0.00138503867167006,0.00591268514313659
